timestamp,magnet_id,voltage_diff,resistance,temperature,quench_flag
2026-04-30 10:00:00,MAG001,0.000715,1e-06,1.9,0
2026-04-30 10:00:01,MAG001,0.000834,2e-06,1.93,0
2026-04-30 10:00:02,MAG001,0.001072,1e-06,2.01,0
2026-04-30 10:00:03,MAG001,-0.000178,1e-06,1.85,0
2026-04-30 10:00:04,MAG001,0.000551,1e-06,1.88,0
2026-04-30 10:00:05,MAG001,0.000366,1e-06,1.91,0
2026-04-30 10:00:06,MAG001,0.001037,2e-06,1.86,0
2026-04-30 10:00:07,MAG001,0.000561,1e-06,1.9,0
2026-04-30 10:00:08,MAG001,0.001011,1e-06,1.88,0
2026-04-30 10:00:09,MAG001,0.000592,1e-06,1.86,0
2026-04-30 10:00:10,MAG001,0.0011,1e-06,1.89,0
2026-04-30 10:00:11,MAG001,0.000583,1e-06,1.92,0
2026-04-30 10:00:12,MAG001,0.001133,1e-06,1.88,0
2026-04-30 10:00:13,MAG001,0.000839,0.0,1.84,0
2026-04-30 10:00:14,MAG001,0.000383,1e-06,1.89,0
2026-04-30 10:00:15,MAG001,0.000728,1e-06,1.9,0
2026-04-30 10:00:16,MAG001,0.001175,1e-06,1.84,0
2026-04-30 10:00:17,MAG001,0.001238,0.0,1.98,0
2026-04-30 10:00:18,MAG001,0.000685,1e-06,1.95,0
2026-04-30 10:00:19,MAG001,0.000528,0.0,2.0,0
2026-04-30 10:00:20,MAG001,0.000436,2e-06,1.91,0
2026-04-30 10:00:21,MAG001,0.001022,1e-06,1.93,0
2026-04-30 10:00:22,MAG001,0.000457,1e-06,1.87,0
2026-04-30 10:00:23,MAG001,0.000486,0.0,1.72,0
2026-04-30 10:00:24,MAG001,0.001024,1e-06,1.82,0
2026-04-30 10:00:25,MAG001,0.00109,1e-06,1.8,0
2026-04-30 10:00:26,MAG001,0.000501,1e-06,1.91,0
2026-04-30 10:00:27,MAG001,0.000602,1e-06,1.77,0
2026-04-30 10:00:28,MAG001,0.000491,-0.0,1.63,0
2026-04-30 10:00:29,MAG001,0.000682,0.0,1.99,0
2026-04-30 10:00:30,MAG001,0.000893,1e-06,1.87,0
2026-04-30 10:00:31,MAG001,0.000286,1e-06,1.79,0
2026-04-30 10:00:32,MAG001,0.000483,1e-06,1.97,0
2026-04-30 10:00:33,MAG001,0.000868,1e-06,1.95,0
2026-04-30 10:00:34,MAG001,0.000708,1e-06,1.95,0
2026-04-30 10:00:35,MAG001,0.00103,1e-06,1.82,0
2026-04-30 10:00:36,MAG001,0.000521,1e-06,1.9,0
2026-04-30 10:00:37,MAG001,0.000596,-0.0,1.82,0
2026-04-30 10:00:38,MAG001,0.000702,1e-06,2.01,0
2026-04-30 10:00:39,MAG001,0.000505,0.0,1.86,0
2026-04-30 10:00:40,MAG001,0.000368,1e-06,1.88,0
2026-04-30 10:00:41,MAG001,0.000685,1e-06,1.97,0
2026-04-30 10:00:42,MAG001,0.000828,1e-06,2.03,0
2026-04-30 10:00:43,MAG001,0.000329,2e-06,1.89,0
2026-04-30 10:00:44,MAG001,0.000588,-0.0,1.84,0
2026-04-30 10:00:45,MAG001,0.000548,2e-06,1.97,0
2026-04-30 10:00:46,MAG001,0.000643,1e-06,2.03,0
2026-04-30 10:00:47,MAG001,0.000428,2e-06,1.9,0
2026-04-30 10:00:48,MAG001,0.001042,2e-06,1.97,0
2026-04-30 10:00:49,MAG001,0.000327,1e-06,1.74,0
2026-04-30 10:00:50,MAG001,0.000381,2e-06,2.02,0
2026-04-30 10:00:51,MAG001,0.000935,1e-06,1.82,0
2026-04-30 10:00:52,MAG001,0.000564,2e-06,1.95,0
2026-04-30 10:00:53,MAG001,0.00051,1e-06,1.98,0
2026-04-30 10:00:54,MAG001,0.000575,1e-06,1.9,0
2026-04-30 10:00:55,MAG001,0.000689,1e-06,1.84,0
2026-04-30 10:00:56,MAG001,0.001196,1e-06,1.83,0
2026-04-30 10:00:57,MAG001,0.000965,1e-06,1.8,0
2026-04-30 10:00:58,MAG001,0.000377,1e-06,1.96,0
2026-04-30 10:00:59,MAG001,0.001104,1e-06,1.76,0
2026-04-30 10:01:00,MAG001,0.000719,0.0,1.74,0
2026-04-30 10:01:01,MAG001,0.000355,2e-06,1.97,0
2026-04-30 10:01:02,MAG001,0.000784,2e-06,1.8,0
2026-04-30 10:01:03,MAG001,9.6e-05,0.0,1.88,0
2026-04-30 10:01:04,MAG001,0.000673,1e-06,1.77,0
2026-04-30 10:01:05,MAG001,0.007956,0.000163,4.14,1
2026-04-30 10:01:06,MAG001,0.000733,1e-06,1.86,0
